liga,position,valor
Ligue 1,Attack,7.0
LaLiga,Goalkeeper,5.0
Ligue 1,Defender,2.0
LaLiga,Defender,1.5
Serie A,Defender,9.0
Premier League,Attack,12.0
Serie A,Defender,17.0
LaLiga,Defender,4.5
LaLiga,Attack,1.0
LaLiga,Defender,1.5
Bundesliga,Midfield,3.5
LaLiga,Attack,5.0
Serie A,Defender,4.0
LaLiga,Attack,2.0
Premier League,Attack,20.0
Bundesliga,Midfield,3.5
LaLiga,Defender,0.8
Serie A,Defender,7.0
Ligue 1,Defender,20.0
LaLiga,Midfield,3.5
Ligue 1,Goalkeeper,2.0
Serie A,Defender,7.5
Serie A,Attack,5.0
LaLiga,Defender,22.0
LaLiga,Midfield,1.5
Bundesliga,Defender,18.0
LaLiga,Goalkeeper,8.0
Ligue 1,Defender,5.0
LaLiga,Goalkeeper,2.0
Bundesliga,Attack,2.0
Premier League,Midfield,12.0
Serie A,Attack,15.0
Ligue 1,Attack,3.0
Bundesliga,Attack,12.0
Bundesliga,Goalkeeper,5.0
LaLiga,Goalkeeper,1.0
Serie A,Defender,22.0
Bundesliga,Defender,7.0
Bundesliga,Goalkeeper,1.2
LaLiga,Midfield,3.0
Premier League,Defender,50.0
LaLiga,Midfield,4.5
Ligue 1,Defender,9.0
Premier League,Goalkeeper,30.0
Serie A,Midfield,9.0
LaLiga,Defender,1.5
LaLiga,Goalkeeper,2.5
LaLiga,Midfield,22.0
Ligue 1,Midfield,0.9
Bundesliga,Attack,1.8
Ligue 1,Midfield,15.0
Ligue 1,Attack,100.0
LaLiga,Midfield,2.0
Bundesliga,Attack,3.5
Bundesliga,Defender,1.0
LaLiga,Defender,5.0
LaLiga,Midfield,4.0
Serie A,Defender,3.0
Ligue 1,Midfield,20.0
Bundesliga,Midfield,14.0
Serie A,Defender,3.0
LaLiga,Midfield,10.0
Serie A,Goalkeeper,4.5
Bundesliga,Midfield,6.0
Ligue 1,Midfield,7.5
Ligue 1,Defender,16.0
Bundesliga,Attack,2.2
LaLiga,Defender,22.0
Premier League,Attack,10.0
Bundesliga,Defender,5.0
Ligue 1,Defender,12.0
Premier League,Defender,4.0
Serie A,Midfield,10.0
Premier League,Midfield,4.2
Premier League,Attack,5.0
LaLiga,Midfield,60.0
LaLiga,Midfield,1.2
Premier League,Midfield,30.0
Premier League,Attack,12.0
Bundesliga,Defender,3.0
Ligue 1,Defender,1.0
Premier League,Goalkeeper,5.0
Ligue 1,Defender,6.0
LaLiga,Goalkeeper,1.2
Premier League,Defender,8.0
Premier League,Attack,3.5
Bundesliga,Midfield,3.5
LaLiga,Goalkeeper,6.0
LaLiga,Attack,1.5
LaLiga,Defender,2.0
Serie A,Defender,1.8
LaLiga,Attack,7.5
LaLiga,Midfield,4.0
Serie A,Attack,2.0
Serie A,Goalkeeper,18.0
LaLiga,Attack,5.0
Bundesliga,Defender,15.0
Serie A,Defender,40.0
LaLiga,Goalkeeper,5.0
Serie A,Goalkeeper,1.0
Serie A,Attack,30.0
Premier League,Attack,15.0
Bundesliga,Attack,1.5
Serie A,Midfield,8.5
LaLiga,Midfield,40.0
Premier League,Attack,55.0
LaLiga,Defender,1.0
Serie A,Goalkeeper,0.1
Premier League,Attack,8.0
LaLiga,Defender,70.0
Premier League,Attack,8.0
Bundesliga,Midfield,2.0
LaLiga,Attack,40.0
Premier League,Attack,35.0
Serie A,Goalkeeper,4.0
Ligue 1,Goalkeeper,2.0
Serie A,Attack,60.0
Serie A,Defender,80.0
Premier League,Goalkeeper,45.0
Serie A,Attack,15.0
Serie A,Attack,35.0
Serie A,Midfield,45.0
Ligue 1,Defender,12.0
Premier League,Midfield,75.0
Ligue 1,Goalkeeper,8.0
Serie A,Midfield,6.5
Serie A,Goalkeeper,1.2
Bundesliga,Defender,20.0
Ligue 1,Goalkeeper,15.0
Premier League,Defender,18.0
Ligue 1,Defender,5.0
Serie A,Attack,60.0
Premier League,Attack,12.0
LaLiga,Midfield,6.0
Premier League,Midfield,28.0
LaLiga,Defender,1.5
Ligue 1,Midfield,19.0
Premier League,Attack,18.0
Serie A,Defender,25.0
Serie A,Defender,3.0
Bundesliga,Attack,0.7
Ligue 1,Midfield,6.0
Serie A,Defender,8.0
Serie A,Goalkeeper,0.15
Bundesliga,Midfield,18.0
Premier League,Attack,30.0
Serie A,Midfield,4.5
Ligue 1,Attack,5.0
Ligue 1,Midfield,10.0
Ligue 1,Attack,4.0
Ligue 1,Attack,3.5
Premier League,Attack,70.0
Serie A,Attack,25.0
Premier League,Defender,65.0
LaLiga,Midfield,70.0
LaLiga,Defender,1.5
Bundesliga,Defender,7.0
LaLiga,Midfield,22.0
Ligue 1,Defender,4.0
Premier League,Defender,16.0
Ligue 1,Goalkeeper,0.5
Bundesliga,Defender,15.0
Serie A,Defender,8.5
Premier League,Midfield,32.0
Serie A,Defender,2.5
LaLiga,Defender,8.0
Premier League,Attack,14.0
Ligue 1,Defender,4.0
Serie A,Midfield,22.0
Premier League,Midfield,25.0
Ligue 1,Midfield,9.0
Premier League,Midfield,25.0
Ligue 1,Goalkeeper,0.8
Premier League,Midfield,30.0
Bundesliga,Attack,35.0
Bundesliga,Defender,1.5
Bundesliga,Defender,4.0
LaLiga,Attack,7.0
Ligue 1,Midfield,25.0
Serie A,Midfield,2.5
Serie A,Goalkeeper,0.2
Bundesliga,Attack,3.0
Bundesliga,Defender,5.0
LaLiga,Midfield,2.4
Bundesliga,Attack,22.0
Serie A,Midfield,2.5
Premier League,Defender,30.0
Bundesliga,Defender,8.0
Serie A,Attack,15.0
Premier League,Goalkeeper,7.0
Serie A,Defender,3.0
Serie A,Goalkeeper,1.2
LaLiga,Midfield,9.0
Serie A,Defender,2.2
Bundesliga,Attack,1.8
Bundesliga,Defender,2.5
LaLiga,Attack,2.0
Bundesliga,Midfield,5.0
LaLiga,Attack,4.0
Serie A,Defender,10.0
LaLiga,Defender,7.0
Premier League,Midfield,30.0
LaLiga,Attack,12.0
Premier League,Defender,5.0
Bundesliga,Midfield,10.0
Serie A,Goalkeeper,35.0
LaLiga,Goalkeeper,2.0
Bundesliga,Attack,25.0
Premier League,Defender,5.0
Premier League,Defender,15.0
LaLiga,Attack,1.8
Bundesliga,Midfield,3.0
Ligue 1,Defender,4.0
LaLiga,Attack,18.0
Premier League,Midfield,10.0
Bundesliga,Attack,15.0
Premier League,Attack,16.0
Premier League,Attack,15.0
Premier League,Midfield,16.0
Serie A,Goalkeeper,8.0
LaLiga,Attack,3.0
Serie A,Midfield,2.2
Premier League,Defender,22.0
Premier League,Goalkeeper,22.0
Premier League,Defender,2.5
Premier League,Defender,13.0
Premier League,Attack,18.0
LaLiga,Attack,1.5
Serie A,Defender,15.0
LaLiga,Defender,0.8
LaLiga,Defender,15.0
LaLiga,Midfield,6.0
Bundesliga,Attack,4.0
Premier League,Midfield,5.0
LaLiga,Goalkeeper,0.5
Bundesliga,Midfield,2.0
Premier League,Defender,5.0
LaLiga,Attack,4.5
Ligue 1,Attack,2.5
LaLiga,Attack,180.0
LaLiga,Midfield,6.0
Bundesliga,Midfield,12.0
Serie A,Defender,2.5
Bundesliga,Attack,7.0
LaLiga,Attack,8.5
Serie A,Attack,20.0
Premier League,Midfield,20.0
Ligue 1,Defender,2.5
Ligue 1,Attack,8.0
Serie A,Attack,65.0
Ligue 1,Defender,10.0
Bundesliga,Defender,2.0
Bundesliga,Defender,70.0
Ligue 1,Defender,2.5
Ligue 1,Attack,14.0
Ligue 1,Attack,2.5
Bundesliga,Defender,1.5
Serie A,Defender,4.5
Serie A,Midfield,15.0
LaLiga,Attack,9.0
Premier League,Defender,22.0
LaLiga,Defender,2.8
Premier League,Defender,35.0
Premier League,Midfield,32.0
Bundesliga,Midfield,1.0
Ligue 1,Goalkeeper,4.0
Bundesliga,Goalkeeper,12.0
Serie A,Defender,7.0
Serie A,Defender,3.5
Premier League,Midfield,18.0
Serie A,Attack,18.0
Bundesliga,Midfield,17.0
Premier League,Attack,18.0
Premier League,Defender,15.0
Serie A,Attack,2.5
LaLiga,Midfield,16.0
Premier League,Attack,120.0
Serie A,Defender,14.0
Premier League,Defender,30.0
Ligue 1,Midfield,40.0
LaLiga,Attack,25.0
Premier League,Midfield,6.0
LaLiga,Defender,40.0
